Key	en	ar	zh-cn	zh-tw	zh-hk	hr	cs	da	nl	en-gb	fil	fi	fr	fr-ca	de	el	he	hu	id	it	ja	ko	ms	no	pl	pt	pt-br	ro	ru	es	es-419	sv	th	tr	uk	vi
crmPreferencesSubjectLine	Here's how we'll stay in touch	إليك كيفية البقاء على اتصال	以下是我们的联系方式	這是我們保持聯繫的方式	Vio時刻為你	Evo kako ćemo ostati u kontaktu	Jak budeme spolu komunikovat	Sådan holder vi kontakten	Zo houden we contact met jou	Here's how we'll stay in touch	Narito kung paano tayo patuloy na makikipag-ugnayan	Näin pidämme yhteyttä	Voici comment nous resterons en contact	Voici comment nous resterons en contact	So bleiben wir in Kontakt	Δείτε πώς θα επικοινωνούμε	ככה נשמור על קשר	Így maradunk kapcsolatban	Inilah cara kami berhubungan	Ecco come ci terremo in contatto	今後お届けする情報	예약에 확신을 더하는 Vio 업데이트	Inilah cara kami kekal berhubung	Slik holder vi kontakten med deg	W ten sposób możemy pozostać w kontakcie	É assim que vamos manter o contacto	Você no controle das suas notificações	Iată cum vom păstra legătura	Вот как мы будем с вами связываться	Así es como estaremos en contacto	Así es como nos mantendremos en contacto	Så här håller vi kontakten	นี่คือวิธีที่เราใช้รักษาการติดต่อกับคุณ	Sizinle şu yollarla iletişim kuracağız:	Ось як ми з вами зв'язуватимемося	Đây là cách chúng tôi sẽ giữ liên lạc
crmPreferencesPreheader	Update your preferences at any time	حدِّث تفضيلاتك في أي وقت	您可随时更新偏好设置	您可隨時更新偏好設定	隨時更新你的偏好設定	Ažurirajte svoje postavke u bilo kojem trenutku	Předvolby můžete kdykoli změnit	Opdater dine indstillinger når som helst	Werk je voorkeuren bij wanneer jij dat wilt	Update your preferences at any time	I-update ang mga preference mo kahit kailan	Päivitä asetukset milloin tahansa	Mettez à jour vos préférences à tout moment	Mettez à jour vos préférences à tout moment	Sie können Ihre Einstellungen jederzeit aktualisieren.	Ενημερώστε τις προτιμήσεις σας ανά πάσα στιγμή	עדכנו את ההעדפות שלכם בכל עת	Frissítse beállításait bármikor	Perbarui preferensi Anda kapan saja	Aggiorna le preferenze quando vuoi	設定はいつでも更新できます	업데이트 환경 설정은 언제든 조정할 수 있어요	Kemas kini pilihan anda pada bila-bila masa	Oppdater preferansene dine når som helst	Zaktualizuj preferencje w dowolnym momencie	Atualize as suas preferências, quando quiser	Atualize suas preferências a qualquer momento	Actualizează-ți preferințele în orice moment	Изменяйте настройки в любое время	Actualiza tus preferencias en cualquier momento	Actualiza tus preferencias en cualquier momento	Uppdatera dina inställningar när som helst	อัปเดตการตั้งค่าได้ทุกเมื่อ	Tercihlerinizi dilediğiniz zaman güncelleyin	Змінюйте налаштування в будь-який час	Cập nhật tùy chọn của bạn bất cứ lúc nào
crmPreferencesHeadline1	Let's stay in touch	لنبقَ على تواصل	联系不断，优惠随行	讓我們保持聯繫	我們時刻助你一臂之力	Ostanimo u kontaktu	Buďme v kontaktu	Lad os holde kontakten	Laten we contact houden	Let's stay in touch	Patuloy tayong magbalitaan	Pidetään yhteyttä	Gardons le contact	Restons en contact	Bleiben wir in Kontakt	Ας μη χαθούμε	בואו נשמור על קשר	Maradjunk kapcsolatban	Ayo jalin hubungan	Teniamoci in contatto	今後も情報をお届けします	유용한 업데이트를 받아보세요	Mari kekal berhubung	La oss holde kontakten	Pozostańmy w kontakcie	Vamos manter o contato	Suas preferências, do seu jeito	Hai să ținem legătura	Будем на связи	Mantengamos el contacto	Mantengámonos en contacto	Låt oss hålla kontakten	มารักษาการติดต่อกัน	İletişimde kalalım	Будьмо на зв'язку	Hãy giữ liên lạc
crmPreferencesBody1	We don't believe in hidden traps or pressure tactics. That's why the updates we send are designed to add clarity, not noise.	لا نؤمن بالفخاخ الخفية أو أساليب الضغط. ولهذا السبب تم تصميم التحديثات التي نرسلها لإضافة الوضوح، وليس الضوضاء.	套路？施压？我们通通不要！我们提供的更新服务力求清晰实用，排除干扰。	我們不贊成隱藏陷阱，更反對強迫推銷。這就是為什麼我們僅傳遞有價值資訊，不造成多餘干擾。	我們不隱藏陷阱或採取強制消費策略。因此，我們推送的最新消息旨在令你更加清楚地了解市況。	Ne vjerujemo u skrivene zamke ni taktike pritiska. Zato su obavijesti koje šaljemo tu da donesu jasnoću, a ne smetnje.	Nevěříme ve skryté pasti ani nátlakové taktiky. Proto se vám snažíme zasílat novinky navržené tak, aby byly přehledné a nerušily.	Vi tror hverken på skjulte fælder eller pres. Derfor er de opdateringer, vi sender, designet til at give dig overblik, ikke forstyrre dig.	We geloven niet in verborgen kosten of drukmiddelen. Daarom zorgen de updates die we sturen voor duidelijkheid en geen ruis.	We don't believe in hidden traps or pressure tactics. That's why the updates we send are designed to add clarity, not noise.	Wala kaming nakatagong trap o pressure tactic. Kaya idinisenyo ang mga update na ipinapadala namin para maging malinaw at hindi nakakalito.	Emme usko painostamiseen tai muihin kikkoihin. Tästä syystä lähettämämme päivitykset on suunniteltu tuomaan selkeyttä, ei sekavuutta.	Nous n'aimons ni les pièges cachés ni les techniques de pression. C'est pourquoi nos communications ont pour but d'apporter de la clarté, pas du bruit.	Nous ne croyons pas aux pièges cachés ni aux tactiques de pression. C'est pourquoi les mises à jour que nous envoyons sont conçues pour apporter de la clarté, pas du flou.	Wir glauben nicht an versteckte Tricks oder Druck. Unsere Updates sollen Klarheit schaffen - nicht Lärm	Δεν μας αρέσουν οι κρυφές χρεώσεις ούτε οι τακτικές πίεσης. Γι' αυτό και οι ενημερώσεις που στέλνουμε στοχεύουν στη σαφήνεια - όχι στο χάος.	אנחנו לא מאמינים במלכודות נסתרות או בטקטיקות מלחיצות. לכן העדכונים שאנו שולחים נועדו להוסיף מידע רלוונטי, לא רעש.	Nem hiszünk a rejtett csapdákban vagy a nyomásgyakorlási taktikákban. Ezért terveztük az általunk küldött frissítéseket úgy, hogy egyértelműséget biztosítsanak, ne zavart.	Kami tak percaya perangkap rahasia atau taktik beban. Pembaruan yang kami kirim dibuat menambah kejelasan, bukan kebisingan.	Nascondere trappole o mettere pressione non è il nostro modo di lavorare. Ecco perché gli aggiornamenti che ti inviamo sono pensati per essere chiari, non per creare confusione.	私たちは隠れ料金や強引なやり方は使用しません。だからこそ、明確な最新情報をお届けするようにしています。	Vio는 교묘한 속임수나 심리적 압박 전략을 믿지 않습니다. Vio가 보내드리는 업데이트는 예약에 혼선이 아니라 확신을 더하는 이유가 바로 이것입니다.	Kami tidak percaya pada helah tersembunyi atau taktik tekanan. Itulah sebabnya setiap kemas kini yang kami hantar direka untuk menambah kejelasan, bukan kekusutan.	Vi tror ikke på skjulte feller eller pressmetoder. Det er derfor oppdateringene vi sender deg er utformet for å legge til klarhet, ikke støy.	Nie uznajemy ukrytych haczyków lub wywoływania nacisku. Dlatego wysyłamy aktualizacje, które zapewniają przejrzystość, a nie wywołują zamieszania.	Não acreditamos em armadilhas ocultas ou táticas de pressão. Por isso, as atualizações que enviamos pretendem esclarecer - não criar ruído.	Não trabalhamos com armadilhas ocultas ou pressão. É por isso que as atualizações que enviamos existem para trazer clareza, não ruído.	Nu credem în capcane ascunse sau în tactici de presiune. De aceea, actualizările pe care le trimitem sunt concepute pentru a aduce claritate, nu pentru a agita apele.	Мы не используем скрытые ловушки или тактики давления. Поэтому наши обновления добавляют ясность, а не лишний шум.	No creemos en las trampas ocultas ni en las tácticas de presión. Por eso, las actualizaciones que enviamos están diseñadas para aportar claridad, no ruido.	No creemos en trampas ocultas ni en tácticas de presión. Por eso, las actualizaciones que enviamos están diseñadas para agregar claridad, no ruido.	Vi tror inte på dolda fällor eller stressande taktiker. Därför är våra uppdateringar skapade för att ge tydlighet utan att förvirra.	เราไม่นิยมใช้กลลวงหรือเทคนิคกดดันนั่นคือเหตุผลที่การอัปเดตต่างๆ ที่เราส่งให้นั้นมีความชัดเจนและไม่สร้างความรำคาญ	Sürpriz maliyetler veya zorlayıcı stratejileri benimsemiyoruz. Bu nedenle gönderdiğimiz güncellemeler kafa karıştırmak yerine netlik sunmak için tasarlanıyor.	Ми не вдаємося до прихованих пасток і не надсилаємо нав'язливих повідомлень. Тому новини від нас додають ясності, а не зайвого шуму.	Chúng tôi không tin vào những cái bẫy ẩn hoặc chiến thuật gây áp lực. Đó là lý do tại sao các bản cập nhật mà chúng tôi gửi đi được thiết kế để làm rõ vấn đề, chứ không phải gây nhiễu thông tin.
crmPreferencesBody2	Here's what you can expect from us:	إليك ما يمكنك توقعه منا:	您将收获以下体验：	我們會為您帶來以下貼心服務：	以下是你值得留意的更新：	Evo što možete očekivati od nas:	Co od nás můžete očekávat:	Her er, hvad du kan forvente af os:	Dit is wat je van ons kunt verwachten:	Here's what you can expect from us:	Narito ang maaasahan mo mula sa amin.	Näitä asioita voit odottaa meiltä:	Voici ce que vous pouvez attendre de nous :	Voici ce à quoi vous pouvez vous attendre de notre part :	Das können Sie von uns erwarten	Δείτε τι μπορείτε να περιμένετε από εμάς:	תוכלו לצפות מאיתנו ל:	A következőkre számíthat tőlünk:	Inilah yang diharapkan dari kami:	Da noi puoi ricevere:	お客様へのご連絡内容は以下のとおりです。	Vio에서 예약하면 다음과 같은 확실한 이점이 있습니다.	Inilah yang anda boleh jangkakan daripada kami:	Dette er hva du kan forvente av oss:	Tego możesz się po nas spodziewać:	Isto é o que pode esperar de nós:	Confira o que você vai receber da gente:	Iată la ce te poți aștepta de la noi:	Вот что вы получите от нас:	Esto es lo que puedes esperar de nosotros:	Esto es lo que puedes esperar de nosotros:	Här är vad du kan förvänta dig av oss:	นี่คือสิ่งที่คุณคาดหวังจากเรา:	Bizden neler bekleyebileceğinizi öğrenin:	Чого очікувати від нас:	Đây là những gì bạn có thể mong đợi từ chúng tôi:
crmPreferencesBullet1	Recommendations tailored to your travel style	توصيات مصممة خصيصًا لتناسب أسلوب سفرك	根据旅行风格定制专属推荐	專屬推薦：根據您的旅行風格量身打造	根據你的旅行模式提供量身定制的推薦意見。	Preporuke prilagođene vašem stilu putovanja	Doporučení přizpůsobená vašemu stylu cestování	Anbefalinger, der er tilpasset din rejsestil	Aanbevelingen op maat voor jouw reisstijl	Recommendations tailored to your travel style	Mga rekomendasyong iniangkop sa style mo sa pagbibiyahe	Matkustustyyliisi räätälöidyt suositukset	Des recommandations adaptées à votre style de voyage	Des recommandations adaptées à votre style de voyage	Empfehlungen speziell für Ihre Reisegewohnheiten	Συστάσεις προσαρμοσμένες στο δικό σας στυλ ταξιδιώτη.	המלצות המותאמות לסגנון הטיול שלכם	Az utazási stílusához igazodó javaslatok	Saran yang cocok dengan gaya perjalanan Anda	Consigli personalizzati in base al tuo modo di viaggiare	旅のスタイルに合わせたおすすめ情報	내 여행 스타일에 맞는 상품 추천	Cadangan yang disesuaikan dengan gaya perjalanan anda	Anbefalinger tilpasset reisestilen din	Polecenia dopasowane do Twojego stylu podróżowania	Recomendações à medida do seu estilo de viagem	Recomendações adaptadas ao seu estilo de viagem	Recomandări adaptate stilului tău de călătorie	Персональные рекомендации для вашего стиля путешествий	Recomendaciones adaptadas a tu estilo de viaje	Recomendaciones adaptadas a tu estilo de viaje	Rekommendationer skräddarsydda för din restil	คำแนะนำที่เหมาะกับสไตล์การเดินทางของคุณ	Seyahat tarzınıza göre hazırlanmış öneriler	Персональні рекомендації для вашого стилю подорожей	Những gợi ý phù hợp với phong cách du lịch của bạn
crmPreferencesBullet2	Price alerts if a hotel drops or raises its price	تنبيهات الأسعار إذا انخفض أو ارتفع سعر الفندق	及时反映酒店降价或涨价趋势的价格提醒	價錢提醒： 第一手通知價格變動	推送酒店價錢下跌或上漲的價錢提醒。	Obavijesti o cijenama kad hotel snizi ili povisi cijenu	Upozornění na cenu, pokud hotel zdraží nebo zlevní	Prisalarmer, hvis prisen på et hotel falder eller stiger	Prijsmeldingen wanneer hotels hun prijzen verlagen of verhogen	Price alerts if a hotel drops or raises its price	Mga alerto sa presyo kapag bumaba o tumaas ang presyo sa isang hotel	Hintailmoitukset, jos hotellin hinta laskee tai nousee	Des alertes de prix si un hôtel baisse ou augmente ses prix	Des alertes de prix lorsqu'un hôtel baisse ou augmente son tarif	Preisalarme, wenn der Preis für ein Hotel sinkt oder steigt	Ειδοποιήσεις τιμών αν ένα ξενοδοχείο μειώσει ή αυξήσει την τιμή	התראות מחירים אם מלון מעלה או מוריד את המחיר	Árértesítések, ha a szálloda csökkenti vagy emeli az árat	Peringatan harga jika harga turun atau naik	Avvisi sui prezzi se il prezzo di un hotel aumenta o diminuisce	ホテルの料金が変動した時の価格アラート	호텔이 가격을 내리거나 올릴 때 가격 알림 제공	Amaran harga jika berlaku penurunan atau kenaikan harga hotel.	Prisvarsler hvis et hotell senker eller øker prisen	Alerty cenowe dotyczące zmiany cen w hotelu	Alertas de preços, se o hotel baixar ou subir o preço	Alertas quando o preço de um hotel cair ou aumentar	Alerte de preț dacă prețul unui hotel scade sau crește	Оповещения о снижении и повышении цен в отеле	Alertas de precios si un hotel baja o sube el precio	Alertas de precio si un hotel baja o aumenta su precio	Prisbevakningar som berättar om hotellpriset höjs eller sänks	แจ้งเตือนราคา หากราคาโรงแรมลดลงหรือเพิ่มขึ้น	Bir otel fiyatı düşerse veya artarsa fiyat uyarıları	Сповіщення про зниження та підвищення цін у готелі	Thông báo giá nếu khách sạn giảm hoặc tăng giá
crmPreferencesBullet3	Deal Freeze reminders, so you don't lose options	تذكير تثبيت العرض، حتى لا تفوّت الخيارات	"优惠锁定"提醒，不错过任何选择	凍結優惠提醒：不會錯過好價格	提供優惠凍結提示，助你鎖定優惠。	Podsjetnici za zamrzavanje ponude, kako ne biste izgubili svoje opcije	Připomenutí, kdy zmrazit ceny, aby vám nic neuteklo	Påmindelser om frysning af tilbud, så du ikke går glip af gode priser	Herinneringen aan de prijzen die jij hebt vastgezet, zodat je geen opties verlies	Deal Freeze reminders, so you don't lose options	Mga paalala sa Pag-freeze ng Promo, para hindi ka maubusan ng mga opsyon	Tarjousten jäädytysmuistutukset, jottet menetä vaihtoehtoja	Des rappels d'offres gelées pour ne pas perdre d'options	Des rappels pour geler une offre, afin de ne pas perdre vos options	Erinnerungen an Preis-Sicherungen, damit Sie keine Optionen verpassen	Υπενθυμίσεις για πάγωμα προσφορών, για να έχετε πάντα όλες τις επιλογές.	תזכורות לדילים מוקפאים, כדי שלא תפספסו מחירים ששריינתם	Emlékeztetők az ajánlat lefagyasztásáról, hogy ne veszítsen el opciókat	Pengingat Tahan Promo, sehingga masih ada opsi	Promemoria per bloccare le offerte così da non perdere nessuna opportunità	「ディールを固定」リマインダーで、おトクな機会を逃しません	원하는 상품을 놓치지 않도록 가격 고정 다시 알림 제공	Peringatan Kunci Tawaran, agar anda tidak kehilangan pilihan.	Tilbuds-frysepåminnelser, slik at du ikke mister alternativer	Przypomnienia o blokowaniu ofert, dzięki którym nie stracisz okazji	Lembretes para fixar ofertas e não perder hipóteses	Lembretes sobre ofertas congeladas, para que você não perca nenhuma opção	Mementouri de înghețare a ofertei, pentru a nu pierde ocaziile	Напоминания о заморозке предложений без потери вариантов	Recordatorios de ofertas congeladas para no perder opciones	Recordatorios de oferta congelada, para que no pierdas opciones	Påminnelser om frysta priser så att du inte missar några alternativ	แจ้งเตือนการล็อกดีล เพื่อให้คุณไม่สูญเสียตัวเลือก	Seçenekleri kaybetmemeniz için Fırsatı Dondur hatırlatıcıları	Нагадування про заморожування пропозицій, щоб ви не втрачали варіанти	Thông báo nhắc nhở Khóa giá để bạn không bỏ lỡ các lựa chọn
crmPreferencesBullet4	Clear booking updates, without unnecessary emails	تحديثات الحجوزات الواضحة، من دون رسائل البريد الإلكتروني غير الضرورية	清晰的预订进度更新，避免无效邮件	訂單更新明確： 只更新必要資訊，不發送無關郵件。	清晰顯示預訂更新，同時避免不必要的電郵。	Jadna ažuriranja o rezervaciji, bez nepotrebnih e-mailova	Přehledné aktualizace rezervací, bez zbytečných e-mailů	Klare opdateringer om din booking – uden unødvendige e-mails	Duidelijke boekingsupdates, zonder onnodige e-mails	Clear booking updates, without unnecessary emails	Malilinaw na update sa booking, nang walang advertising email	Selkeät varauspäivitykset ilman turhia sähköposteja	Des mises à jour claires sur vos réservations, sans e-mails superflus	Mises à jour de réservation claires, sans courriels inutiles	Verständliche Buchungsaktualisierungen, ohne unnötige E-Mails	Εκκαθάριση ενημερώσεων για κρατήσεις, χωρίς περιττά email	עדכוני הזמנות ברורים, ללא מיילים מיותרים	Világos foglalási frissítések, felesleges e-mailek nélkül	Update booking jelas, tanpa email yang mengganggu	Aggiornamenti chiari sulle prenotazioni, evitando email non necessarie	不要なメールではなく、予約状況の明確な更新情報	불필요한 이메일 없이 명확한 예약 업데이트	Kemas kini tempahan yang jelas, tanpa e-mel yang tidak perlu.	Klare oppdateringer av bestillinger, uten unødvendige e-poster	Przejrzyste aktualizacje rezerwacji, bez zbędnych maili	Atualizações claras de reservas, sem e-mails desnecessários	Avisos importantes sobre suas reservas, sem emails desnecessários	Actualizări clare ale rezervărilor, fără e-mailuri inutile	Только важные новости о бронировании	Actualizaciones de reservas claras, sin correos electrónicos innecesarios	Actualizaciones claras de reservas, sin correos electrónicos innecesarios	Tydliga bokningsuppdateringar, utan onödiga e-postmeddelanden	อัปเดตการจองที่ชัดเจน ปราศจากอีเมลที่ไม่จำเป็น	Net rezervasyon güncellemeleri, gereksiz e-postalara yer yok	Лише важливі новини про бронювання	Thông tin cập nhật đặt chỗ rõ ràng, không cần email không cần thiết.
crmPreferencesBody3	No spam. Just useful information, when it matters.	لا رسائل مزعجة. فقط معلومات مفيدة، عندما تحتاجها.	无垃圾信息，仅在关键时刻提供实用资讯。	不發送垃圾郵件。僅在重要時刻提供有用資訊。	我們過濾垃圾電郵，並只會提供實用的重要資訊。	Bez spama. Samo korisne informacije, kad je to važno.	Žádný spam. Pouze užitečné informace, když na nich záleží.	Ingen spam. Kun nyttige oplysninger, når du har brug for dem.	Geen spam. Alleen nuttige informatie, wanneer het ertoe doet.	No spam. Just useful information, when it matters.	Walang spam. Mahahalagang impormasyon, kapag mahalaga ito.	Ei roskapostia. Vain hyödyllistä tietoa, kun se on tarpeen.	Pas de spam. Seulement des informations utiles, au moment opportun.	Aucun pourriel Seulement de l'information utile, quand c'est important.	Kein Spam. Nur relevante Informationen, wenn sie wirklich wichtig sind.	Χωρίς συνεχείς ενοχλήσεις. Μόνο χρήσιμες πληροφορίες, όταν έχουν σημασία.	בלי ספאם. רק מידע שימושי, כשזה רלוונטי.	Semmi spam. Csak hasznos információk, amikor szükségesek.	Nol spam. Hanya informasi berguna, saat diperlukan.	Niente spam. Solo informazioni utili, quando servono.	スパムメールはありません。必要な時にお役に立つ情報だけをお届けします。	쓸데없는 것들은 모두 빼고 꼭 필요한 정보만 적시에 제공합니다.	Tiada spam. Hanya maklumat berguna, apabila diperlukan.	Ingen søppelpost. Kun nyttig informasjon når det betyr noe.	Zero spamu. Wyłącznie przydatne i istotne informacje.	Nada de spam. Apenas informações úteis, quando importa.	Nada de spam. Apenas informações úteis, quando forem relevantes.	Fără spam. Doar informații utile, atunci când acestea contează.	Никакого спама. Только полезная информация в нужный момент.	Sin spam. Solo información útil, cuando importa.	Sin spam. Solo información útil, cuando importa.	Ingen skräppost. Bara användbar information när den är viktig.	ไม่มีสแปมเฉพาะข้อมูลที่มีประโยชน์ ในเวลาที่จำเป็น	Spam yok. Sadece gerçekten önemli olan faydalı bilgiler.	Жодного спаму. Тільки корисна інформація у потрібний момент.	Không gửi thư rác. Chỉ thông tin hữu ích khi cần thiết.
crmPreferencesBody4	And you're always in control. You can turn individual notification types off at any time, without losing access the others. If you're happy with these updates, you don't have to do anything else right now.	وأنت دائمًا تتحكم في الأمر. يمكنك إيقاف تشغيل أنواع الإشعارات الفردية في أي وقت، دون فقدان إمكانية الوصول إلى الأنواع الأخرى. إذا كانت هذه التحديثات مناسبة لك، فلست مضطرًا للقيام بأي شيء آخر الآن.	掌控权始终在您手中。您可以随时单独关闭某类通知，同时保留其他有用通知。如果对这些更新感到满意，此刻无需动手调整。	主控權始終在您手上。您可隨時關閉單一類別通知，不影響其他通知的接收權限。如果您對目前的設定感到滿意，現在無需進行任何操作。	此外，你始終可以控制接收那些資訊。你可以隨時選擇不接收個別通知，而不會錯過其他有用的提示。如果你對以上更新感到滿意，則現在無需進行其他操作。	I uvijek imate kontrolu. Pojedine vrste obavijesti možete isključiti u bilo kojem trenutku, bez gubitka pristupa ostalima. Ako ste zadovoljni ovim ažuriranjima, zasad ne morate ništa poduzeti.	Navíc máte všechno sami pod kontrolou. Jednotlivé typy oznámení můžete kdykoli vypnout, aniž byste ztratili přístup k ostatním. Pokud vám takové nastavení aktualizací vyhovuje, nemusíte nic dělat.	Og det er altid dig, der har kontrollen. Du til enhver tid slå enkelte notifikationstyper fra, uden at det påvirker de andre. Hvis du er tilfreds med disse opdateringer, behøver du ikke at gøre andet lige nu.	En jij hebt altijd de touwtjes in handen. Je kunt specifieke meldingen uitschakelen zonder toegang tot andere meldingen te verliezen. Als je akkoord gaat met deze updates, hoef je nu niets te doen.	And you're always in control. You can turn individual notification types off at any time, without losing access the others. If you're happy with these updates, you don't have to do anything else right now.	Ikaw palagi ang masusunod. Puwede mong i-off ang mga indibidwal na uri ng abiso kahit kailan, nang hindi nawawalan ng access sa iba pa. Kung nasisiyahan ka sa mga update na ito, wala kang kailangang gawin sa ngayon.	Lisäksi hallinta on aina sinulla. Voit poistaa yksittäisiä ilmoitustyyppejä käytöstä milloin tahansa menettämättä muita ilmoituksia. Jos olet tyytyväinen näihin päivityksiin, sinun ei tarvitse tehdä mitään.	Vous gardez toujours le contrôle. Vous pouvez désactiver certains types de notifications à tout moment, sans perdre l'accès aux autres. Si ces mises à jour vous conviennent, il n'y a rien d'autre à faire pour le moment.	Et vous gardez toujours le contrôle. Vous pouvez désactiver certains types de notifications à tout moment, sans perdre l'accès aux autres. Si ces mises à jour vous conviennent, vous n'avez rien d'autre à faire pour le moment.	Sie entscheiden, worüber Sie informiert werden möchten. Einzelne Benachrichtigungen können Sie jederzeit deaktivieren, während alle anderen aktiv bleiben. Wenn Sie mit diesen Updates einverstanden sind, müssen Sie jetzt nichts weiter tun.	Και έχετε πάντα τον έλεγχο. Μπορείτε να απενεργοποιήσετε τις μεμονωμένες ειδοποιήσεις ανά πάσα στιγμή, χωρίς να χάσετε πρόσβαση σε άλλες. Αν είστε ευχαριστημένοι με αυτές τις ενημερώσεις, δεν χρειάζεται να κάνετε τίποτα άλλο για τώρα.	ואתם תמיד בשליטה. ניתן לבטל התראות מסויימות בכל עת, מבלי לאבד גישה להתראות אחרות. אם אתם מרוצים מהעדכונים האלה, אין צורך לעשות שום דבר אחר כרגע.	És mindig Ön dönt. Az egyes értesítési típusokat bármikor kikapcsolhatja anélkül, hogy elveszítené a többihez való hozzáférést. Ha elégedett a frissítésekkel, akkor most semmi mást nem kell tennie.	Anda selalu memegang kendali. Anda dapat mematikan jenis notifikasi individu kapan pun, tanpa kehilangan akses ke yang lain. Jika Anda puas dengan pembaruan ini, Anda tidak perlu melakukan apa pun sekarang.	E il controllo rimane a te. Puoi disattivare quando vuoi le notifiche di un determinato tipo e avere ancora accesso alle altre. Se questi aggiornamenti vanno bene per te, non devi fare nient'altro per il momento.	そして、常にお客様が情報の流れをコントロールできます。個別の通知タイプはいつでもオフにできます。他の通知タイプには影響しません。更新される情報にご満足いただける場合、特別な操作は必要ありません。	그리고 얼마든지 원하는 대로 조정할 수 있습니다. 언제든 원치 않는 개별 알림 유형을 끄고 필요한 알림만 받아볼 수 있습니다. 이러한 업데이트를 받아보는 데 만족하신다면 지금 아무것도 하실 필요가 없습니다.	Dan kawalan sentiasa di tangan anda. Anda boleh mematikan mana-mana jenis notifikasi pada bila-bila masa, tanpa menjejaskan akses kepada yang lain. Jika anda berpuas hati dengan kemas kini ini, tiada tindakan lanjut diperlukan buat masa ini.	Og du har alltid kontroll. Du kan deaktivere individuelle varslingstyper når som helst, uten å miste tilgang til de andre. Hvis du er fornøyd med disse oppdateringene, trenger du ikke å gjøre noe mer akkurat nå.	Decyzja zawsze należy do Ciebie. W każdej chwili możesz wyłączyć poszczególne rodzaje powiadomień i nie stracić dostępu do pozostałych. Jeśli odpowiadają Ci te aktualizacje, nie musisz nic robić.	E o controlo está sempre do seu lado. Pode desativar determinados tipos de notificações, quando quiser, sem perder acesso aos outros. Caso esteja satisfeito/a com estas atualizações, não precisa de fazer mais nada agora.	Lembrando que você pode desligar notificações específicas a qualquer momento, sem perder as demais. E se estiver tudo certo com essas atualizações, não precisa tomar nenhuma outra ação agora.	Și tu deții întotdeauna controlul. Poți dezactiva în orice moment tipurile de notificări individuale, fără a pierde accesul la celelalte. Dacă ești mulțumit de aceste actualizări, nu trebuie să faci nimic altceva chiar acum.	Вы всегда контролируете ситуацию. Вы можете отключить отдельные типы уведомлений в любое время, не теряя доступ к другим. Все устраивает? Тогда ничего делать не нужно.	Y siempre tendrás el control. Puedes desactivar tipos de notificaciones individuales en cualquier momento, sin perder acceso a los demás. Si te parecen bien estas actualizaciones, no tienes que hacer nada más ahora mismo.	Y tú siempre estás en control. Puedes desactivar tipos de notificaciones individuales en cualquier momento, sin perder el acceso a los demás. Si estás contento con estas actualizaciones, no tienes que hacer nada más en este momento.	Och du har alltid full kontroll. Du kan när som helst inaktivera enskilda aviseringstyper utan att förlora åtkomst till de andra. Om du tycker att de här uppdateringarna låter bra behöver du inte göra något just nu.	และอยู่ในการดูแลของคุณเสมอคุณสามารถปิดการแจ้งเตือนแต่ละประเภทได้ทุกเมื่อ โดยไม่สูญเสียการเข้าถึงการแจ้งเตือนประเภทอื่นๆหากคุณพอใจกับการอัปเดตเหล่านี้ ยังไม่ต้องทำอะไร ณ ตอนนี้	Ve kontrol her zaman sizde. Her bir bildirim türünü ayrı ayrı, diğerlerine erişiminizi kaybetmeden dilediğiniz zaman kapatabilirsiniz. Bu güncellemelerden memnunsanız şu anda başka bir şey yapmanıza gerek yok.	Ви завжди контролюєте ситуацію. Ви можете вимкнути деякі типи сповіщень будь-коли, не втрачаючи доступу до інших. Вас усе влаштовує? Тоді більше нічого робити не потрібно.	Và bạn luôn kiểm soát. Bạn có thể tắt các loại thông báo riêng lẻ bất kỳ lúc nào, mà không mất quyền truy cập vào các loại thông báo khác. Nếu bạn hài lòng với những cập nhật này, bạn không phải làm bất cứ điều gì khác ngay bây giờ.
crmPreferencesCTA	Set my preferences	اضبط تفضيلاتي	设置我的偏好	設定我的偏好	設定我的個人偏好	Postavi moje postavke	Nastavit předvolby	Indstil mine præferencer	Stel voorkeuren in	Set my preferences	Itakda ang mga preference ko	Aseta omat asetukset	Gérer mes préférences	Définir mes préférences	Meine Einstellungen festlegen	Καθορίστε προτιμήσεις	הגדרת ההעדפות שלי	Preferenciáim beállítása	Atur preferensi	Imposta le mie preferenze	設定を決める	환경 설정 지정하기	Tetapkan pilihan saya	Angi preferansene mine	Ustaw moje preferencje	Definir as minhas preferências	Definir minhas preferências	Configurează-mi preferințele	Настроить мои предпочтения	Establecer mis preferencias	Establecer mis preferencias	Ange mina inställningar	ตั้งค่าความต้องการของฉัน	Tercihlerimi ayarla	Установити мої налаштування	Đặt tùy chọn của tôi
