Key,en,ar,zh-cn,zh-tw,zh-hk,hr,cs,da,nl,en-gb,fil,fi,fr,fr-ca,de,el,he,hu,id,it,ja,ko,ms,no,pl,pt,pt-br,ro,ru,es,es-419,sv,th,tr,uk,vi
subject_line,See the full picture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preheader,Up front with no hidden fees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headline,Compare prices across 100+ sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
body_1,With Vio's transparent pricing you can see the full picture up front. Compare and book real prices across hundreds of sites without hidden fees or surprise add-ons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
body_2,Don't book hoping you got a good deal â€“ know that you did.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cta_text,Explore deals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app_download_title,Stay in the loop on the Vio app,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app_download_feature_1,Find extra savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app_download_feature_2,Manage your reservations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
app_download_feature_3,Track prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image_url,https://userimg-assets.customeriomail.com/images/client-env-124967/1770209522707_Price_Comparison_Hero_EN_01KGMBBF2GNND06AHJSZZR243E.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image_url_mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image_deeplink,https://app.vio.com/v0HW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cta_link,https://app.vio.com/v0HW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cta_alias,hero-cta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
